Artiste;Titre;Sorti en;VentesReelles
 Andrea BOCELLI ; Romanza ;1997;2077500
 B O F ; Les Choristes ;2004;1685900
 BEE GEES ; Saturday Night Fever (BOF) ;1978;2157600
 CALOGERO ;3;2004;1569900
 Celine DION ; D Eux ;1995;4412100
 Demis ROUSSOS ; Forever And Ever ;1973;1484900
 DIRE STRAITS ; Brothers In Arms ;1985;1995300
 Divers Artistes ; Starmania ;1978;2237600
 ERA ; Ameno ;1997;1868600
 Eric SERRA ; Le Grand Bleu (BOF) ;1988;1883800
 Francis CABREL ; Samedi Soir Sur La Terre ;1994;3963400
 FREDERICKS GOLDMAN JONES ; Fredericks Goldman Jones ;1990;2044400
 GAROU ; Seul ;2000;1490100
 Gerald De PALMAS ; Marcher Dans Le Sable ;2000;1540800
 J-Jacques GOLDMAN ; Entre Gris Clair Et Gris Fonce ;1987;2194200
 J-Michel JARRE ; Oxygene ;1977;1739100
 Johnny HALLYDAY ; Sang Pour Sang ;1999;1627200
 J-Philippe AUDIN & Diego MODEN ; Ocarina ;1991;1494900
 Lara FABIAN ; Pure ;1997;1471800
 LOUISE ATTAQUE ; Louise Attaque ;1997;2186600
 Manu CHAO ; Clandestino ;1998;1848500
 Mariah CAREY ; Music Box ;1993;1418100
 Michael JACKSON ; Thriller ;1983;2366700
 Mylene FARMER ; L autre ;1991;1719100
 Norah JONES ; Come Away With Me ;2002;1776000
 Patricia KAAS ; Mademoiselle Chante ;1988;1567700
 Patrick BRUEL ; Alors Regarde ;1989;2736200
 Phil COLLINS ; But Seriously ;1989;1711100
 PINK FLOYD ; The Dark Side Of The Moon ;1973;2555400
 POW WOW ; Regagner Les Plaines ;1992;1557300
 RENAUD ; Boucan D enfer ;2002;1634600
 Roch VOISINE ; Helene ;1989;1565000
 SUPERTRAMP ; Breakfast In America ;1979;3072100
 The BEATLES ; 1967-1970 (Bleu) ;1973;2227600
 The CRANBERRIES ; No Need To Argue ;1994;1549000
 U 2 ; The Joshua Tree ;1987;2072100
 Yannick NOAH ; Yannick Noah ;2000;1681900
