Nom;Pays;J. ESP;Tit. ESP;Rp. ESP;CJ ESP;Buts ESP;CR ESP;_IMG_
Marc-Andre Ter-Stegen; Allemagne;4;4;0;0;0;0;medias.lequipe.fr/img-sportif-foot/37589/50?20151127
Gerard Gumbau; Espagne;3;0;3;0;0;0;medias.lequipe.fr/img-sportif-foot/55831/50?20151127
Gerard Pique; Espagne;9;9;0;3;0;0;medias.lequipe.fr/img-sportif-foot/21534/50?20151127
Andres Iniesta; Espagne;8;7;1;2;1;0;medias.lequipe.fr/img-sportif-foot/16769/50?20151127
Sergi Samper; Espagne;0;0;0;0;0;0;medias.lequipe.fr/img-sportif-foot/50120/50?20151127
Marc Bartra; Espagne;6;3;3;0;1;0;medias.lequipe.fr/img-sportif-foot/35938/50?20151127
Jordi Alba; Espagne;10;9;1;1;0;0;medias.lequipe.fr/img-sportif-foot/34728/50?20151127
Ivan Rakitic; Croatie;12;11;1;2;0;0;medias.lequipe.fr/img-sportif-foot/24342/50?20151127
Douglas; Bresil;1;0;1;0;0;0;medias.lequipe.fr/img-sportif-foot/54631/50?20151127
Luis Suarez; Uruguay;12;12;0;3;12;0;medias.lequipe.fr/img-sportif-foot/25656/50?20151127
Munir El Haddadi; Espagne;9;4;5;0;0;0;medias.lequipe.fr/img-sportif-foot/53823/50?20151127
Thomas Vermaelen; Belgique;3;3;0;1;1;0;medias.lequipe.fr/img-sportif-foot/20522/50?20151127
Juan Camara; Espagne;0;0;0;0;0;0;medias.lequipe.fr/img-sportif-foot/57751/50?20151127
Sergio Busquets; Espagne;13;13;0;3;0;0;medias.lequipe.fr/img-sportif-foot/30124/50?20151127
Daniel Alves; Bresil;10;9;1;1;0;0;medias.lequipe.fr/img-sportif-foot/18675/50?20151127
Sandro Ramirez; Espagne;9;3;6;0;0;0;medias.lequipe.fr/img-sportif-foot/53824/50?20151127
Lionel Messi; Argentine;8;6;2;0;4;0;medias.lequipe.fr/img-sportif-foot/21740/50?20151127
Claudio Bravo; Chili;9;9;0;0;0;0;medias.lequipe.fr/img-sportif-foot/20872/50?20151127
Jordi Masip; Espagne;0;0;0;0;0;0;medias.lequipe.fr/img-sportif-foot/48963/50?20151127
Adriano; Bresil;3;2;1;0;0;0;medias.lequipe.fr/img-sportif-foot/22080/50?20151127
Sergi Roberto; Espagne;10;9;1;0;0;0;medias.lequipe.fr/img-sportif-foot/37410/50?20151127
Neymar; Bresil;12;12;0;3;14;0;medias.lequipe.fr/img-sportif-foot/39792/50?20151127
Javier Mascherano; Argentine;10;10;0;1;0;1;medias.lequipe.fr/img-sportif-foot/20625/50?20151127
Jeremy Mathieu; France;10;6;4;2;0;0;medias.lequipe.fr/img-sportif-foot/16475/50?20151127
Rafinha; Bresil;3;2;1;0;0;0;medias.lequipe.fr/img-sportif-foot/44412/50?20151127
